Nhân vật,Năm,Sự kiện
Thu Minh,2003,"Năm 2003, ca khúc mang tên ""Phút yêu đầu"" (""The first moment"") nằm trong album Lời cuối ra đời."
Thu Minh,2005,"Đánh dấu năm 2005, Thu Minh mới bước những bước đầu tiên sang thể loại nhạc dance đem sự thành công của album ""Thiên Đàng"" hợp tác cùng nhạc sĩ Võ Thiện Thanh đến cả công chúng và giới nghệ thuật."
Thu Minh,2005,"Năm 2005, album này cũng mang lại cho Thu Minh một đề cử ở giải Cống Hiến."
Thu Minh,2005,"Năm 2005, Thu Minh thể hiện vai cô Liễu trong vở cải lương ""Lan và Điệp"" trên sân khấu và nhận được sự chào đón nồng nhiệt từ khán giả."
Thu Minh,2005,"Thu Minh vẫn giữ vững lập trường của mình từ năm 2005 khi được hỏi về chuyện cô đã không nhận danh hiệu Diva ở cuộc bình chọn ""Diva Thế hệ Mới 2005"" do Giai Điệu Xanh tổ chức."
Kurt Hamrin,1952,Ông bắt đầu chơi bóng cho câu lạc bộ AIK ở giải Thụy Điển trong hai mùa 1952-53.
Kurt Hamrin,1953,"Hamrin đã chơi 32 lần cho đội tuyển quốc gia Thụy Điển từ năm 1953 đến 1965, ghi được 17 bàn thắng."
Kurt Hamrin,1956,"Năm 1956, ông gia nhập Juventus và có 23 trận trong mùa giải duy nhất khoác áo đội bóng."
Kurt Hamrin,1958,"Ngoài việc thi đấu thành công ở cấp độ câu lạc bộ, ông còn là thành viên của đội tuyển bóng đá quốc gia Thụy Điển vào tới trận chung kết Giải vô địch bóng đá thế giới 1958 trên quê nhà."
Kurt Hamrin,1958,"Đến năm 1958, ông được Fiorentina mua về."
Kurt Hamrin,1958,"Bàn thắng đáng nhớ nhất của ông là trong trận gặp Tây Đức ở vòng bán kết của giải vô địch bóng đá thế giới năm 1958, đó là bàn nâng tỉ số lên thành 3–1 cho Thụy Điển, bảo đảm một suất trong trận chung kết gặp Brazil."
Kurt Hamrin,1961,Ông cùng với đội bóng hai lần đoạt Coppa Italia vào các năm 1961 và 1966.
Kurt Hamrin,1967,"Và tại đây, ông đã thi đấu dưới màu áo của đội bóng cho tới năm 1967 với tổng cộng 289 trận tại Serie A, ghi được 150 bàn thắng."
Kurt Hamrin,1967,"Năm 1967, ông gia nhập A.C."
Kurt Hamrin,1971,Đội bóng cuối cùng tại Serie A mà ông gia nhập là Napoli trước khi trở về quê hương thi đấu cho IFK Stockholm vào năm 1971.
Kurt Hamrin,2024,"Ông qua đời vào ngày 4 tháng 2 năm 2024, thọ 89 tuổi."
Laura Harring,1964,"Harring sinh ra ở Los Mochis, Sinaloa, Mexico vào ngày 3 tháng 3 năm 1964."
Laura Harring,1971,Hai người ly dị năm 1971.
Laura Harring,1985,"Năm 1985, Harring trở thành người phụ nữ gốc Tây Ban Nha đầu tiên đăng quang Hoa hậu Mỹ."
Laura Harring,1985,"Năm 1985, Harring ẵm danh hiệu Miss USA."
Laura Harring,1987,"Năm 1987, Harring kết hôn với Bá tước Carl-Eduard von Bismarck-Schönhausen, cháu chắt của Otto von Bismarck."
Laura Harring,1989,"Mặc dù hai người ly dị vào năm 1989, cô vẫn giữ được danh hiệu Nữ bá tước von Bismarck-Schönhausen."
Lee Hi,1996,"Lee Ha-yi sinh vào ngày 23 tháng 9 năm 1996, tại thành phố Bucheon, Hàn Quốc."
Lee Hi,2011,"Vào tháng 11 năm 2011, cô tham gia mùa 1 của chương trình tìm kiếm tài năng K-pop Star của đài truyền hình SBS và đã giành ngôi á quân."
Lee Hi,2012,"Vào ngày 28 tháng 10 năm 2012, Lee Hi tung ra đĩa đơn đầu tay ""1, 2, 3, 4""."
Lee Hi,2013,"Lee Hi trở lại công chúng với album đầu tay First Love gồm 10 ca khúc với ca khúc chủ đạo ""It's Over"" và ""Rose"" vào đầu tháng 3 năm 2013."
Lee Hi,2016,"Sau khi vắng bóng một thời gian dài, Lee Hi đã trở lại với một phần album Seoulite vào ngày 9 tháng 3 năm 2016 với ca khúc chủ đạo là ""Breathe"" và ""Hold My Hand"", trong đó ""Breathe"" đã giành được giải Digital Bonsang tại Golden Disc Awards lần thứ 31."
Lee Hi,2017,"Vào ngày 28 tháng 2 năm 2017, Lee Hi đã hát chính trong ca khúc ""X"" lấy từ album Muggles Mansion của rapper Code Kunst."
Lee Hi,2018,"Vào ngày 21 tháng 3 năm 2018, cô ra mắt album tiếng Nhật đầu tay, đánh dấu tour diễn của mình tại Nhật Bản, và vào ngày 19 tháng 10 cùng năm, cô đã tham gia cover lại ca khúc đình đám Bohemian Rhapsody của ban nhạc rock Queen cho bộ phim cùng tên."
Lee Hi,2019,"Lee Hi chính thức trở lại với EP ""24°C"" vào ngày 30 tháng 5 năm 2019."
Lee Hi,2020,"Vào tháng 6 năm 2020, Lee Hi đã tham gia mùa thứ tư của chương trình Begin Again do đài JTBC tổ chức."
Wanessa Camargo,1982,"Wanessa sinh ra tại thành phố Goiânia, thuộc bang Goiás, vào ngày 28 tháng 12 năm 1982."
Wanessa Camargo,1991,"Năm 1991, khi cô được chín tuổi, cả gia đình cô chuyển đến sống ở thành phố São Paulo để tạo điều kiện cho cha cô, Zezé di Camargo và chú cô, Luciano Camargo tạo lập sự nghiệp ca nhạc."
Wanessa Camargo,1998,"Vào năm 1998, Wanessa bắt đầu hẹn hò với nam ca sĩ Leandro Scornavacca, thành viên ban nhạc KLB."
Wanessa Camargo,2000,"Năm 2000, cô hẹn hò với nam diễn viên Dado Dolabella, cả hai đã chia tay hai năm sau đó vào năm 2002."
Wanessa Camargo,2005,Năm 2005 cô quen biết doanh nhân đến từ Espírito Santo tên là Marcus Buaiz.
Wanessa Camargo,2007,"Hai năm sau, vào ngày 26 tháng 5 năm 2007, họ kết hôn."
Wanessa Camargo,2011,"Vào ngày 18 tháng 6 năm 2011, cô thông báo đang có bầu trong một cuộc phỏng vấn với tạp chí Contigo!."
Wanessa Camargo,2012,"Con trai của cô, lấy tên José Marcus, sinh ngày 5 tháng 1 năm 2012."
Wanessa Camargo,2014,"Ngày 19 tháng 6 năm 2014, cô sinh thêm một con trai nữa là João Francisco."
Võ Hoài Nam,1991,"Năm 1991, ông đóng vai chính trong bộ phim nhựa Truyền thuyết tình yêu Thần Nước của đạo diễn Hà Sơn."
Võ Hoài Nam,1997,"Từ năm 1997 đến năm 2000, tên tuổi của Võ Hoài Nam bắt đầu được khán giả biết đến nhiều hơn khi ông vào vai cảnh sát Chiến trong loạt phim truyền hình Cảnh sát hình sự."
Võ Hoài Nam,2000,"Con trai cả của ông, Võ Hoài Vũ (sinh năm 2000), vừa đảm nhận vai Quang trong phim Đi giữa trời rực rỡ đang phát sóng trên VTV3, hiện đang đảm nhận vai Đạt trong phim Mật lệnh hoa sữa đang phát sóng trên kênh H1 ."
Võ Hoài Nam,2000,"Con gái thứ hai, Võ Hoài Anh (sinh năm 2005), hiện đang đảm nhận vai Trang trong phim Hoa sữa về trong gió đang phát sóng trên VTV1."
Võ Hoài Nam,2002,"Ông từng nổi tiếng với vai Trọng trong bộ phim Vua bãi rác của đạo diễn Đỗ Minh Tuấn năm 2002, vai Chiến trong Cảnh sát hình sự, và vai ông Sinh trong Hương vị tình thân."
Võ Hoài Nam,2002,"Năm 2002, ông đóng vai Trọng trong bộ phim điện ảnh Vua bãi rác."
Võ Hoài Nam,2004,"Năm 2004, ông vào vai Nam trong bộ phim Chuyện phố phường."
Võ Hoài Nam,2007,Ông được Nhà nước phong tặng Danh hiệu Nghệ sĩ ưu tú vào năm 2007.
Võ Hoài Nam,2021,"Năm 2021, ông vào vai ông Sinh trong bộ phim truyền hình Hương vị tình thân sau hơn 16 năm để lại rất nhiều xúc động đối với khán giả."
Bega Begum,1527,Bega  kết hôn với người anh em họ cô cậu là Hoàng Tử Humayun vào năm 1527.
Bega Begum,1528,"Tháng 11, 1528 bà hạ sinh Al-andrei Sacha, đứa con đầu lòng của bà với Humayun."
Bega Begum,1530,"Tháng 12, 1530 cha chồng bà Hoàng Đế Babur băng hà, Humayun lên ngôi ở tuổi 23, và bà trở thành hoàng hậu ở tuổi 19."
Bega Begum,1531,"Năm 1531, hoàng hậu rời Kabul đến Agra, nơi mà bà thông báo rằng mình có thai thêm lần hai và hạ sinh ra một công chúa mang tên Aqiqa Sultan Begum."
Bega Begum,1539,"1539, Bega cùng chồng đến Chausa, Bengal, nơi mà sau này bà bị Sher Shah Suri bắt làm tù nhân, sau một cuộc tấn công bất ngờ nhằm vào lãnh thổ Mogul bởi quân đội của Sher Shah."
Bega Begum,1539,"Sáng ngày 26 tháng sáu 1539, Humayun biết việc bà bị giam cầm, ngay lập tức ông phóng trên một con ngựa cùng với bốn nhà quý tộc, Tardi Beg, Baba Beg, Koch Beg,MrBachka Bahadur."
Bega Begum,1556,"Khi Humayun băng năm 1556, Bega  vô cùng đau buồn và dành cả cuộc đời còn lại của bà để xây dựng một lăng mộ lớn và tráng lệ nhất đế chế, ở gần Sông Yamuna, Delhi để tưởng niệm tiên hoàng."
Bega Begum,1564,"Năm 1564, Bega Begum tiến hành một cuộc hành hương đến Mecca và Medina cùng với chị chồng bà, Gulbadan Begum, nhưng trước khi đi, bà đã sắp xếp cho việc xây dựng của lăng mộ bằng chính tiền của bà."
Bega Begum,1567,"1567, Bà quay trở về sau cuộc hành hương, sau đó bà sống ẩn dật tai Delhi và giám sát các dự án."
Bega Begum,1582,"Bega Begum mất năm 1582 và được để tang bởi người con chồng Akbar, người rất yêu thương và xem bà như người mẹ thứ hai của mình."
Ingrid của Thụy Điển,1920,Mẹ của công chúa Ingrid qua đời vào năm 1920 vì viêm màng não trong lúc mang thai đứa con thứ 6 được 8 tháng.
Ingrid của Thụy Điển,1928,"Năm 1928, cô và Thân vương xứ Wales đương thời (người kế thừa ngôi vua Anh sau này) có mối quan hệ tình cảm, nhưng việc tiến đến hôn nhân không thành."
Ingrid của Thụy Điển,1935,"Năm 1935, cô kết hôn với Vương tử Đan Mạch, và đây đã trở thành một sự kiện lớn ở Thụy Điển trong năm 1935, làm các phương tiện truyền thống chú ý."
Ingrid của Thụy Điển,1935,"Vương nữ Ingrid kết hôn với Vương tử Frederick của Đan Mạch và Iceland, tại Stockholm vào ngày 24 tháng 05 năm 1935."
Ingrid của Thụy Điển,1944,"Vương nữ Benedikte Astrid Ingeborg Ingrid (sinh 1944), kết hôn với Hoàng tử Richard của Sayn-Wittgenstein-Berleburg năm 1968."
Ingrid của Thụy Điển,1946,"Vương nữ Anne-Marie Dagmar Ingrid (sinh 1946), kết hôn với vua Konstantinos II của người Hy Lạp năm 1964."
Ingrid của Thụy Điển,1947,Cô đã trở thành Vương hậu của Đan Mạch sau khi chồng của cô lên ngôi vua Đan Mạch vào ngày 20 tháng 04 năm 1947.
Federico Valverde,2015,"Valverde bắt đầu sự nghiệp chuyên nghiệp của mình với Peñarol vào năm 2015, giành chức vô địch Primera División Uruguay trong mùa giải đầu tiên."
Federico Valverde,2015,"Valverde đã dành phần lớn ở đội bóng trẻ Peñarol, nơi anh nhanh chóng tạo được ấn tượng; anh đã có trận ra mắt cho đội một trong trận mở màn mùa giải 2015–16, gặp Cerro."
Federico Valverde,2016,"Năm 2016, anh gia nhập Real Madrid, ban đầu chơi cho đội dự bị của câu lạc bộ."
Federico Valverde,2016,"Tháng 7 năm 2016, Valverde chuyển đến Real Madrid và được giao cho đội dự bị Castilla của họ."
Federico Valverde,2016,Anh ra sân thường xuyên cho Castilla trong mùa giải đầu tiên và ghi bàn thắng đầu tiên vào lưới Albacete vào tháng 12 năm 2016.
Federico Valverde,2017,"Anh ra mắt đội một vào năm 2017 và kể từ đó đã có hơn 150 lần ra sân cho câu lạc bộ, giành hai danh hiệu La Liga, hai cúp FIFA Club World Cup, hai danh hiệu UEFA Champions League, một siêu cúp châu Âu và một cúp Copa del Rey."
Federico Valverde,2017,"Valverde ra mắt lần đầu trong màu áo đội tuyển Uruguay vào năm 2017 và kể từ đó anh đã đại diện cho đất nước của mình tham dự tại Copa America 2019, Copa America 2021, FIFA World Cup 2022 và Copa America 2024, nơi anh cùng với các đồng đội giành hạng ba chung cuộc."
Federico Valverde,2017,Cậu ấy luôn tạo ra sự đặc biệt ở hàng tiền vệ.
Federico Valverde,2017,"Ngày 22 tháng 6 năm 2017, Valverde được đội bóng Deportivo de La Coruña ở La Liga cho mượn một năm."
Federico Valverde,2017,"Valverde đã được trao giải Quả bóng bạc tại FIFA U-20 World Cup 2017, khi Uruguay đứng thứ tư ở giải đấu."
Federico Valverde,2017,Valverde được gọi lên đội tuyển quốc gia Uruguay lần đầu vào tháng 8 năm 2017.
Federico Valverde,2018,"Valverde ban đầu được đưa vào danh sách tạm thời gồm 26 cầu thủ Uruguay tham dự FIFA World Cup 2018, nhưng anh đã bị loại khỏi danh sách 23 cầu thủ cuối cùng."
Federico Valverde,2019,"Với sự trở lại dẫn dắt Real Madrid của Zinedine Zidane và sự ra đi của Marcos Llorente, Valverde đã bứt phá để trở thành cầu thủ chủ chốt của đội bóng trong mùa giải 2019–20."
Federico Valverde,2019,"Ngày 9 tháng 11 năm 2019, anh ghi bàn thắng đầu tiên cho Real Madrid, trong chiến thắng 4–0 trước Eibar."
Frank Stronach,1954,"Sau khi sống 1 năm tại thủ đô Bern, thuộc nước Thụy Sĩ, nơi mà ông đá banh cho đội FC Helvetia, vào năm 1954 ông di cư sang Canada lập nghiệp."
Frank Stronach,1986,"Franz Vranitzky (SPÖ), từ 1986 tới 1997 thủ tướng của Áo, ngay sau đó trở thành thành viên của hội đồng quản trị tập đoàn Magna International."
Frank Stronach,1988,Năm 1988 Stronach ứng cử cho đảng Tự do Canada nhưng không thành công.
Frank Stronach,1988,"Con gái ông, bà Belinda Stronach, một thành viên từ 1988 cho tới 2004 và từ tháng 2 năm 2001 chủ tịch hội đồng quản trị tập đoàn Magna International, ứng cử vào năm 2004 chức chủ tịch đảng Bảo thủ Canada, đã đứng hạng thứ nhì."
Frank Stronach,1994,"Karl-Heinz Grasser (trước đó FPÖ), từ 1994 năm 1998 đại diện của chủ tịch chính phủ Landesregierung Zernatto II tại bang Kärnten, sau đó trở thành phó giám đốc về Nhân viên và Quan hệ công chúng tại Magna International, cũng như từ 1999 giám đốc doanh nghiệp Sport Management International (SMI) mà cũng thuộc tập đoàn Magna, trước khi ông vào năm 2000 trở thành bộ trưởng bộ Tài chính của chính phủ Áo ÖVP/FPÖ-Bundesregierung Schüssel I."
Frank Stronach,1996,"Bà cựu chủ tịch bang Steiermark từ 1996 tới 2005, Waltraud Klasnic (ÖVP), năm 2007 trở thành „nhà cố vấn về các vấn đề kinh tế xã hội"" tại Magna."
Frank Stronach,2002,"Mathias Reichhold (FPÖ), 2002 tạm thời làm bộ trưởng bộ Giao thông, Sáng tạo và Kỹ thuật trong chính phủ Schüssel và một thời gian ngắn làm chủ tịch đảng FPÖ, sau đó được mời để quản trị Magna Steyr."
Frank Stronach,2002,"Peter Westenthaler (BZÖ), cho tới đảng FPÖ sau ngày họp đảng Knittelfelder Parteiversammlung 2002 bị chia ra, đại biểu của FPÖ tại hạ nghị viện, cũng được mời làm việc cho Magna Steyr, rồi làm giám đốc cho liên hội đá banh Bundesliga Áo, mà chủ tịch lúc đó là Stronach."
Frank Stronach,2005,2005 bà chuyển sang đảng Tự do nhưng vẫn giữ ghế tại Hạ nghị viện.
Frank Stronach,2007,2007 bà trở lại làm chủ tịch hội đồng quản trị tập đoàn Magna International.
Frank Stronach,2011,"Đại biểu ÖVP tại hạ nghị viện, Günter Stummvoll, được Stronach chọn là chủ tịch hội đồng quản trị hãng Merkur Entertainment AG mà được thành lập vào năm 2011."
Frank Stronach,2011,"Vào tháng 11 năm 2011 Stronach thành lập tại Oberwaltersdorf hội „Viện Frank Stronach cho công bằng kinh tế xã hội"", đưa ra nhiều đòi hỏi để cải tổ nước Áo, như giảm nợ nần, đơn giản hóa thuế má, bớt đi thủ tục hành chánh nhà nước."
Frank Stronach,2012,"Vào tháng 8 2012 ông tuyên bố trong một cuộc phỏng vấn với tờ báo Deutschen Wirtschafts Nachrichten việc thành lập một đảng mới, với những nguyên tắc cơ bản là ""Sự thật, Rõ ràng và Lương thiện""."
Honoré III của Monaco,1641,"Lập trường này phản ánh mối quan hệ truyền thống giữa Monaco và vương quyền Pháp, vốn được bảo đảm từ các hiệp ước trước đó, đặc biệt là hiệp ước năm 1641."
Honoré III của Monaco,1641,"Do vị trí địa lý quá gần nước Pháp cộng thêm với việc từ lâu lệ thuộc vào Pháp theo hiệp ước bảo hộ năm 1641, Monaco không có quân đội thường trực và hoàn toàn không đủ khả năng kháng cự."
Honoré III của Monaco,1720,"Honoré III của Monaco (Honoré Camille Léonor Grimaldi; 10 tháng 11 năm 1720 – 21 tháng 3 năm 1795) là Thân vương xứ Monaco, trị vì từ năm 1733 đến năm 1793, đồng thời mang tước hiệu Công tước xứ Valentinois trong cùng thời gian."
Honoré III của Monaco,1720,"Honoré chào đời ngày 10 tháng 11 năm 1720 tại Paris, Pháp."
Honoré III của Monaco,1731,Honoré trở thành Thân vương thế tử của Monaco vào năm 1731 khi cha mẹ ông lên ngôi.
Honoré III của Monaco,1732,"Ngày 20 tháng 5 năm 1732, ông cùng phụ thân dời đến cư trú tại Hôtel Matignon ở Paris và tiếp tục sống phần lớn thời gian trị vì ở đó ngay cả sau khi ông được tuyên bố là Thân vương xứ Monaco vào năm 1733, do cha ông thoái vị."
Honoré III của Monaco,1751,"Thay vào đó, thì vào ngày 5 tháng 7 năm 1751, ông thành hôn với Maria Caterina Brignole (mất năm 1813), một nữ quý tộc người Ý xuất thân từ gia tộc Brignole-Sale danh giá nổi tiếng ở Genoa."
Honoré III của Monaco,1758,"Hai vợ chồng có hai người con trai:  Honoré IV (17 tháng 5 năm 1758 – 16 tháng 2 năm 1819), về sau kế vị cha mình làm Thân vương xứ Monaco; Joseph Grimaldi (10 tháng 9 năm 1763 – 28 tháng 6 năm 1816), từng giữ chức nhiếp chính vương của Monaco thay mặt anh trai mình trong giai đoạn 1814–1815."
Honoré III của Monaco,1770,Cuộc hôn nhân kết thúc bằng ly thân hợp pháp vào năm 1770.
Honoré III của Monaco,1784,"Tình trạng này kéo dài suốt gần nửa thế kỷ, cho đến khi Antoine qua đời năm 1784, lúc ấy Honoré III đã 64 tuổi."
Honoré III của Monaco,1789,"Khi Cách mạng Pháp bùng nổ năm 1789, Thân vương Honoré III tìm cách bảo toàn chủ quyền Monaco bằng chính sách trung lập thận trọng."
Honoré III của Monaco,1790,"Giai đoạn 1790–1791, Honoré cho thành lập các cơ quan tư vấn mang hơi hướng Khai sáng để tiếp nhận ý kiến cải cách, qua đó trì hoãn các thay đổi triệt để có thể dẫn đến sự can thiệp của Pháp."
Honoré III của Monaco,1792,"Nhờ chính sách nhượng bộ từng bước, Monaco giữ được tương đối ổn định đến năm 1792, dù sự trung lập này về sau không thể đứng vững trước áp lực ngày càng tăng của phe cách mạng cấp tiến."
Honoré III của Monaco,1792,"Cuối năm 1792, trong bối cảnh Cộng hòa Pháp mở rộng lãnh thổ, quân đội cách mạng tiến vào Nice, giáp ranh Monaco."
Honoré III của Monaco,1792,"Ngày 22 tháng 10 năm 1792, quân Pháp vượt biên giới và chiếm đóng Monaco."
Alejandro Sabella,2009,Việc bổ nhiệm ông cũng dấy lên nhiều nghi ngờ khi Sabella mới bắt đầu nghiệp huấn luyện viên vào năm 2009 với câu lạc bộ Estudiantes ở giải vô địchh quốc gia Argentina.
Alejandro Sabella,2009,"Tuy nhiên, chỉ trong năm đầu tiên chính thức nghiệp huấn luyện, Sabella đã giúp Estudiantes đăng quang ở Copa Libertadores (Cúp vô địchhh các câu lạc bộ Nam Mỹ) năm 2009."
Alejandro Sabella,2011,"Sáng ngày 29/7/2011, Hiệp hội bóng đá Argentina (AFA) đã chính thức bổ nhiệm ông Alejandro Sabella dẫn dắt tuyển quốc gia thay cho Sergio Batista."
Alejandro Sabella,2014,Nhưng sau đó đã dẫn dắt đội tuyển Argentina vào trận chung kết Cúp bóng đá thế giới năm 2014.
Alejandro Sabella,2014,"Tại FIFA World Cup 2014, Sabella đã dẫn dắt Đội tuyển Argentina vào đến trận chung kết và giành ngôi Á quân sau khi để thua Đội tuyển Đức ở hiệp phụ."
Alejandro Sabella,2020,Sabella qua đời vào buổi trưa ngày 8 tháng 12 năm 2020 (giờ địa phương) do nhiễm một loại virus trong khi đang điều trị bệnh tim.
Zinédine Zidane,1953,"Cha và mẹ của ông, Smail và Malika, đã di cư từ làng Aguemone thuộc vùng Kabylie của Algérie năm 1953 đến định cư ở Paris, trước khi chuyển đến Marseille một vài năm sau."
Zinédine Zidane,1974,Pháp trở thành đội đầu tiên giữ cả hai chức vô địch thế giới và châu Âu kể từ khi Đội tuyển bóng đá quốc gia Tây Đức vô địch vào năm 1974.
Zinédine Zidane,1989,Zidane ra mắt ở giải hạng Nhất Pháp vào ngày 20 tháng 5 năm 1989 khi AS Cannes tiếp FC Nantes của Didier Deschamps và Marcel Desailly trên sân khách.
Zinédine Zidane,1991,"Đến ngày 8 tháng 2 năm 1991, ông ghi được bàn thắng đầu tiên và đội bóng ""chịu hậu quả"" cũng chính là Nantes."
Zinédine Zidane,1991,"Ông đã gặp người tình của mình, một vũ công người Pháp gốc Tây Ban Nha tên là Véronique Fernandez, trong khi đang chơi cho Cannes trong mùa 1991-92."
Zinédine Zidane,1992,Zidane chuyển đến FC Girondins de Bordeaux vào mùa hè năm 1992 khi vừa tròn 20 tuổi.
Zinédine Zidane,1994,"Ngày 17 tháng 8 năm 1994, ông lần đầu tiên được gọi vào đội tuyển quốc gia khi 22 tuổi trước đội tuyển Cộng hòa Séc trên chính sân Parc Lescure của Bordeaux."
Zinédine Zidane,1996,Đội bóng rượu vang không Zidane đã để thua 0-2 và sau đó để mất chiếc cup UEFA năm 1996 vào tay đối thủ.
Zinédine Zidane,1996,"Năm 1996, Zidane chuyển đến Ý cho đội bóng Đương kim vô địch UEFA Champions League Juventus F.C."
Zinédine Zidane,1996,"Ông đã cùng đội bóng giành Scudetto mùa 1996-97 và cúp Liên lục địa, nhưng lại thất bại trong trận chung kết C1 năm với tỉ số 1-3 trước Borussia Dortmund."
Zinédine Zidane,1996,Euro 1996 là giải đấu quốc tế lớn đầu tiên của ông.
Zinédine Zidane,1996,Zidane lập cú đúp ngay trong lần đầu ra mắt đội tuyển quốc gia trước Cộng hòa Séc trong đó có một cú sút xa từ cự li khoảng 30m năm 1996.
Zinédine Zidane,1996,Zidane đã ghi bàn thắng từ một cú vuốt bóng từ khoảng cách 40m (gần nửa sân) trong trận đấu với Betis tại cúp UEFA năm 1996.
Ngô Khải Hoa,1983,"Năm 1983, Ngô Khải Hoa và anh trai chính thức gia nhập TVB."
Ngô Khải Hoa,1984,"Năm 1984, anh được đạo diễn Lý Tuệ Dân chọn vào vai thứ chính trong bộ phim Ma vực đào nguyên, hợp tác cùng Lưu Đức Hoa."
Ngô Khải Hoa,1992,"Người vợ đầu tiên của anh là con gái một đại gia tại Thái Lan, cuộc hôn nhân kéo dài từ năm 1992 đến năm 1995."
Ngô Khải Hoa,1996,"Nhờ vai diễn này, Ngô Khải Hoa đã được TVB để mắt tới và trở thành Tiểu sinh của hãng, và cũng từ đó anh bị đóng khung trong những vai phản diện với các phim: Thuyết đường, Lưu manh đại hanh, Sở hà Hán giới… Tuy nhiên phải đến vai diễn Vương Nhất Chính trong Bùng nổ (1996) hợp tác với Tuyên Huyên và Ôn Triệu Luân sự nghiệp của Ngô Khải Hoa mới bắt đầu tỏa sáng thực sự."
Ngô Khải Hoa,2001,"Năm 2001, anh tiếp tục thành công với vai Trương Vô Kỵ trong phiên bản Ỷ Thiên Đồ Long ký cùng với Lê Tư và Xa Thi Mạn, phim thành công vang dội tại châu Á, và giúp Ngô Khải Hoa củng cố thêm vị trí tiểu sinh hàng đầu của TVB ngày một vững chắc."
Ngô Khải Hoa,2007,"Vì vậy tháng 05/2007, anh đã rời khỏi TVB sau khi kết thúc hợp đồng với hãng này."
Ngô Khải Hoa,2007,"Năm 2007, Ngô Khải Hoa kết hôn với Thạch Dương Tử, nữ diễn viên Trung Quốc kém anh 21 tuổi."
Ngô Khải Hoa,2013,"Năm 2013, sau vài năm vắng bóng trên phim trường, Ngô Khải Hoa quay trở lại TVB với vai bác sĩ trong phần hai của Sứ mệnh 36 giờ."
Ngô Khải Hoa,2014,"Sau đó, anh tiếp tục tham gia những bộ phim khác của đài như Thế giới quý cô (2014), Tái chiến minh thiên (2014)."
Ngô Khải Hoa,2014,"Do cách biệt tuổi tác nên không cùng quan điểm sống, hai người quyết định ly thân 4 năm trước khi chính thức ly hôn vào năm 2014."
Nico Williams,2013,"Williams gia nhập học viện trẻ của Athletic Bilbao năm 2013, anh được thăng chức lên đội dự bị năm 2020 và lên đội một một năm sau đó, trở thành đồng đội của anh trai Iñaki Williams."
Nico Williams,2020,"Williams lần đầu tiên đại diện cho Tây Ban Nha cho đội tuyển U-18 quốc gia vào năm 2020, ghi được hai bàn thắng sau bốn trận đấu."
Nico Williams,2021,Anh được triệu tập vào đội tuyển U-19 Tây Ban Nha vào tháng 2 năm 2021 và ra mắt đội tuyển U-21 quốc gia vào tháng 9 cùng năm.
Nico Williams,2022,"Williams ra mắt đội tuyển Tây Ban Nha vào năm 2022, đại diện cho đất nước tham dự FIFA World Cup 2022 và UEFA Euro 2024."
Nico Williams,2022,Anh được triệu tập lần đầu tiên vào đội tuyển quốc gia bởi huấn luyện viên Luis Enrique cho các trận đấu UEFA Nations League 2022–23 vào tháng 9 năm 2022.
Nico Williams,2022,"Sau đó, anh được triệu tập tham dự FIFA World Cup 2022, nơi anh ra sân tại tất cả bốn trận của Tây Ban Nha với một lần góp mặt trong đội hình xuất phát."
Nico Williams,2024,"Vào tháng 5 năm 2024, anh được chọn vào đội hình 26 người tham dự UEFA Euro 2024."
Nico Williams,2025,"Tính đến 25 tháng 5 năm 2025    Tính đến 8 tháng 6 năm 2025    Tính đến 8 tháng 6 năm 2025 Tỷ số và kết quả liệt kê bàn thắng của Tây Ban Nha được để trước, cột tỷ số cho biết tỷ số sau mỗi bàn thắng của Williams."
Hedwig Elisabeth Charlotta xứ Holstein-Gottorp,1770,"Vương tử Karl nhìn thấy Charlotta lần đầu tiên tại Eutin vào năm 1770, và nhận xét rằng công nữ rất xinh đẹp."
Hedwig Elisabeth Charlotta xứ Holstein-Gottorp,1772,"Cuộc hôn nhân được đề xuất vào năm 1772, và buổi lễ đầu tiên được diễn ra tại Wismar vào ngày 21 tháng 6 năm 1774."
Hedwig Elisabeth Charlotta xứ Holstein-Gottorp,1774,"Bà kết hôn với anh họ mình là Karl, Công tước xứ Södermanland tại Stockholm vào ngày 7 tháng 7 năm 1774 khi mười lăm tuổi."
Hedwig Elisabeth Charlotta xứ Holstein-Gottorp,1775,"Vào tháng 1 năm 1775, có những dấu hiệu cho thấy Charlotta đã mang thai."
Hedwig Elisabeth Charlotta xứ Holstein-Gottorp,1775,"Hedwig Elisabeth Charlotta được biết đến với cuốn nhật ký nổi tiếng của bà, một nguồn tư liệu lịch sử có giá trị miêu tả triều đình Hoàng gia Thụy Điển từ tháng 8 năm 1775 đến tháng 10 năm 1817."
Hedwig Elisabeth Charlotta xứ Holstein-Gottorp,1780,Charlotta cũng có mối quan hệ với em trai của Axel von Fersen là Bá tước Fabian von Fersen Mối quan hệ của bà với Fabian von Fersen được cho là bắt đầu vào cuối những năm 1780 bị ngừng lại với cuộc hôn nhân của von Fersen vào năm 1797.
Hedwig Elisabeth Charlotta xứ Holstein-Gottorp,1782,Tôi tin rằng hầu hết phụ nữ sẽ không yêu cầu gì hơn là được biến đổi thành đàn ông để thoát khỏi sự ràng buộc bất hạnh và tận hưởng sự tự do trọn vẹn của họ.
